"","SID","CID","Alts","Use","Lat","Long"
"2",1,1,1,0,41.3008476340568,-77.7594891826938
"3",1,1,2,0,41.3000253058566,-77.7610882627795
"4",1,1,3,0,41.302538675091,-77.7599019632603
"5",1,1,4,0,41.3023471689741,-77.7603060046819
"6",1,1,5,1,41.30154105,-77.75997247
"7",1,1,1,0,41.3019817307298,-77.7547478877035
"8",1,1,2,0,41.3025896084571,-77.7546941886506
"9",1,1,3,0,41.3008035480328,-77.7553318848479
"10",1,1,4,0,41.302573376389,-77.7587472955039
"11",1,1,5,1,41.30207673,-77.75652217
"12",1,1,1,0,41.3017480688405,-77.7583081979825
"13",1,1,2,0,41.3038273278285,-77.7590254373982
"14",1,1,3,0,41.3032873430782,-77.7582745642081
"15",1,1,4,0,41.3028117253131,-77.7594312455195
"16",1,1,5,1,41.3022252,-77.75806408
"17",1,1,1,0,40.8596588730206,-78.0708349802528
"18",1,1,2,0,40.860730064195,-78.0744342489825
"19",1,1,3,0,40.8617545368718,-78.070669032075
"20",1,1,4,0,40.8605168294873,-78.0735552942302
"21",1,1,5,1,40.86076725,-78.07211322
"22",1,1,1,0,41.3032902721579,-77.7604123862609
"23",1,1,2,0,41.3030133563808,-77.757362386192
"24",1,1,3,0,41.3030426394409,-77.7591148630364
"25",1,1,4,0,41.3008690112204,-77.7602949574426
"26",1,1,5,1,41.30203964,-77.75922609
"27",1,1,1,0,41.3032297010413,-77.7599659948748
"28",1,1,2,0,41.3011424420041,-77.7568176336507
"29",1,1,3,0,41.3018157234619,-77.7570329093634
"30",1,1,4,0,41.3033690416846,-77.7577291614605
"31",1,1,5,1,41.30241338,-77.75796907
"32",1,1,1,0,41.3015996728503,-77.7600402491496
"33",1,1,2,0,41.3031098821852,-77.7571167479363
"34",1,1,3,0,41.3028644068233,-77.7580101362893
"35",1,1,4,0,41.3020999340717,-77.7598347829027
"36",1,1,5,1,41.30233175,-77.75791918
"37",1,1,1,0,41.3012268513305,-77.758129693147
"38",1,1,2,0,41.301482554178,-77.7568294366662
"39",1,1,3,0,41.3017199090083,-77.758334404641
"40",1,1,4,0,41.3032552452407,-77.7579344842023
"41",1,1,5,1,41.30213435,-77.75788269
"42",1,1,1,0,41.3021668095394,-77.7582790301172
"43",1,1,2,0,41.3017494651476,-77.7567762446121
"44",1,1,3,0,41.3020087735024,-77.7580886479823
"45",1,1,4,0,41.3024713606197,-77.7582991500712
"46",1,1,5,1,41.30144133,-77.75842966
"47",1,1,1,0,41.3036895665231,-77.7578435611793
"48",1,1,2,0,41.3006654034122,-77.7572694904185
"49",1,1,3,0,41.3032990029229,-77.7592666100563
"50",1,1,4,0,41.3019747884145,-77.7589224127991
"51",1,1,5,1,41.30193319,-77.75785678
"52",1,1,1,0,41.3000553684742,-77.7589038589921
"53",1,1,2,0,41.3023511549982,-77.7583172666398
"54",1,1,3,0,41.3016706308914,-77.7558973391878
"55",1,1,4,0,41.3011720242306,-77.7557941845824
"56",1,1,5,1,41.30160873,-77.75776176
"57",1,1,1,0,41.3031171092628,-77.7595999502429
"58",1,1,2,0,41.3026558688505,-77.7586656886988
"59",1,1,3,0,41.3007263971829,-77.7575091583556
"60",1,1,4,0,41.3007970535958,-77.7588239751662
"61",1,1,5,1,41.30187479,-77.75793452
"62",1,1,1,0,41.3023183536901,-77.7573394265704
"63",1,1,2,0,41.3021434899168,-77.7602410696968
"64",1,1,3,0,41.3025486525492,-77.7596605939714
"65",1,1,4,0,41.3022341722067,-77.759611046354
"66",1,1,5,1,41.30212955,-77.7590977
"67",1,1,1,0,41.301726187349,-77.7602111823473
"68",1,1,2,0,41.3021642319629,-77.7568297503085
"69",1,1,3,0,41.3002926329806,-77.7594370239321
"70",1,1,4,0,41.3005117280795,-77.7583510154569
"71",1,1,5,1,41.30164118,-77.75797771
"72",1,1,1,0,41.3013404890397,-77.7560138823239
"73",1,1,2,0,41.3008745460282,-77.7601754808296
"74",1,1,3,0,41.30167588413,-77.7575568577099
"75",1,1,4,0,41.3010979848529,-77.7594142890078
"76",1,1,5,1,41.30139459,-77.75792588
"77",1,1,1,0,41.2998770850178,-77.7598687577046
"78",1,1,2,0,41.2997819442371,-77.7591347374084
